Date,High,Low,Close,Adj Close,Volume,Open
1/12/1984,0.506696,0.493304,0.497768,0.393336,27585600,0.5
1/13/1984,0.504464,0.477679,0.486607,0.384517,30436000,0.497768
1/16/1984,0.504464,0.484375,0.497768,0.393336,34395200,0.486607
1/17/1984,0.513393,0.497768,0.511161,0.40392,37268000,0.497768
1/18/1984,0.522321,0.502232,0.513393,0.405683,55126400,0.511161
1/19/1984,0.526786,0.508929,0.517857,0.409211,37430400,0.513393
1/20/1984,0.520089,0.504464,0.511161,0.40392,35336000,0.517857
1/23/1984,0.520089,0.506696,0.515625,0.407447,69591200,0.511161
1/24/1984,0.517857,0.473214,0.486607,0.384517,80057600,0.515625
1/25/1984,0.515625,0.479911,0.482143,0.38099,65968000,0.486607
1/26/1984,0.5,0.482143,0.493304,0.389809,42123200,0.482143
1/27/1984,0.495536,0.457589,0.466518,0.368643,48524000,0.493304
1/30/1984,0.475446,0.430804,0.441964,0.34924,69367200,0.466518
1/31/1984,0.450893,0.412946,0.441964,0.34924,86273600,0.441964
2/1/1984,0.455357,0.4375,0.439732,0.347477,40779200,0.441964
2/2/1984,0.446429,0.430804,0.444196,0.351004,33728800,0.439732
2/3/1984,0.455357,0.4375,0.4375,0.345713,36372000,0.444196
2/6/1984,0.4375,0.412946,0.415179,0.328074,41389600,0.4375
2/7/1984,0.433036,0.399554,0.430804,0.340421,54432000,0.415179
2/8/1984,0.4375,0.415179,0.415179,0.328074,37055200,0.430804
2/9/1984,0.430804,0.404018,0.421875,0.333366,58699200,0.415179
2/10/1984,0.446429,0.421875,0.435268,0.343949,35991200,0.421875
2/13/1984,0.439732,0.426339,0.433036,0.342185,26432000,0.435268
2/14/1984,0.459821,0.433036,0.457589,0.361587,52264800,0.433036
2/15/1984,0.477679,0.444196,0.448661,0.354532,50209600,0.457589
2/16/1984,0.455357,0.4375,0.453125,0.35806,26308800,0.448661
2/17/1984,0.464286,0.446429,0.446429,0.352768,33661600,0.453125
2/21/1984,0.46875,0.444196,0.466518,0.368643,30072000,0.446429
2/22/1984,0.493304,0.46875,0.488839,0.386281,55843200,0.46875
2/23/1984,0.488839,0.464286,0.479911,0.379226,38763200,0.488839
2/24/1984,0.491071,0.479911,0.484375,0.382753,19454400,0.479911
2/27/1984,0.491071,0.470982,0.482143,0.38099,30391200,0.484375
